Cod_SBS,Cod_Emp,Tipo_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
2013869924,20010,30,98,4,14100000000,000000,0000,0,98414100000000
2013869924,20012,30,91,4,11130602000,000000,0000,0,91411130602000
2013869924,20012,30,91,4,18130000000,000000,0000,0,91418130000000
2011953058,00000,40,98,1,13020000000,003690,0000,0,98113020000000
2011953058,00000,60,97,2,15061300000,000000,0000,0,97215061300000
2011249574,60000,11,01,4,11020209000,000000,0000,0,01411020209000
2011249574,60000,11,07,2,15060200000,000000,0000,0,07215060200000
2011249574,60000,11,08,1,19370201000,000000,0000,0,08119370201000
2011249574,60000,11,01,4,11020602000,000000,0000,0,01411020602000
2011249574,60000,11,02,9,11020100000,000000,0000,0,02911020100000
2011249574,60000,11,08,1,18010202000,000000,0000,0,08118010202000
2011249574,60000,11,01,4,18020000000,000000,0000,0,01418020000000
2011249574,60000,11,08,1,18010201000,000000,0000,0,08118010201000
2011249574,60000,11,01,4,11020201000,000000,0000,0,01411020201000
2011249574,60000,11,08,4,14051100000,000000,0000,0,08414051100000
2010164720,00000,11,01,4,11020201000,000000,0000,0,01411020201000
2010164720,00000,11,07,2,15060200000,000000,0000,0,07215060200000
2010164720,00000,49,98,4,24020900000,027600,0000,0,98424020900000
2010164720,00000,11,01,4,18020000000,000000,0000,0,01418020000000
2014037199,80000,11,08,1,13020000000,030860,0000,0,08113020000000
2010074820,70000,10,98,1,13020000000,025640,0000,0,98113020000000
2010074820,70027,81,08,1,19250000000,013280,0000,0,08119250000000
2011432335,70048,80,98,1,13020000000,022820,0000,0,98113020000000
2011432335,70000,10,98,1,13020000000,032190,0000,0,98113020000000
2009512640,50000,10,98,1,18011301000,000000,0000,0,98118011301000
2009512640,50000,10,98,4,14051100000,000000,0000,0,98414051100000
2009512640,50000,10,98,4,24020102000,005190,0000,0,98424020102000
2009512640,50000,10,91,4,11130609000,000000,0000,0,91411130609000
2009512640,50000,10,91,4,18130000000,000000,0000,0,91418130000000
2009512640,50000,10,98,1,18011302000,000000,0000,0,98118011302000
2012656628,00000,60,98,4,24020102000,000000,0000,0,98424020102000
2012656628,00000,60,91,4,11130602000,000000,0000,0,91411130602000
2012656628,00000,60,98,1,18011301000,000000,0000,0,98118011301000
2012656628,00000,60,98,1,18011302000,000000,0000,0,98118011302000
2012656628,00000,60,98,4,14100000000,000000,0000,0,98414100000000
2012656628,00000,60,91,4,18130000000,000000,0000,0,91418130000000
2012656628,00000,60,98,4,14051100000,000000,0000,0,98414051100000
2012656628,00000,60,97,2,15061300000,000000,0000,0,97215061300000
2016424152,10022,00,88,4,14100000000,000000,0000,0,88414100000000
2016424152,10022,00,87,1,12000000000,000000,0000,0,87112000000000
2011804448,70000,10,98,1,18011301000,000000,0000,0,98118011301000
2011804448,70000,10,92,9,11020100000,000000,0000,0,92911020100000
2011804448,70000,10,91,4,11130602000,000000,0000,0,91411130602000
2011804448,70000,10,98,1,18011302000,000000,0000,0,98118011302000
2011804448,70000,10,98,4,14051100000,000000,0000,0,98414051100000
2010327851,10000,11,08,1,13020000000,032960,0000,0,08113020000000
2013647247,00000,10,91,4,18130000000,000000,0000,0,91418130000000
2013647247,00000,10,91,4,11130609000,000000,0000,0,91411130609000
2013647247,00000,10,98,4,24020102000,003270,0000,0,98424020102000
2013647247,00000,10,98,1,18011301000,000000,0000,0,98118011301000
2013647247,00000,10,98,1,18011302000,000000,0000,0,98118011302000
2013647247,00000,10,98,4,14051100000,000000,0000,0,98414051100000
2013647247,00000,10,98,4,24090000000,000000,0000,0,98424090000000
2010692478,30000,60,81,4,11120602000,000000,0000,0,81411120602000
2010692478,30000,60,88,4,14100000000,000000,0000,0,88414100000000
2010692478,30000,10,88,1,18011202000,000000,0000,0,88118011202000
2010692478,30000,60,88,4,24020102000,000000,0000,0,88424020102000
2010692478,30000,60,88,1,18011201000,000000,0000,0,88118011201000
2010692478,30000,60,88,1,19371201000,000000,0000,0,88119371201000
2010692478,30000,60,88,4,14051100000,000000,0000,0,88414051100000
2010692478,30000,10,88,4,14051100000,000000,0000,0,88414051100000
2010692478,30000,10,81,4,11120602000,000000,0000,0,81411120602000
2010692478,30000,10,88,1,18011201000,000000,0000,0,88118011201000
2010692478,30000,60,87,2,15031200000,000000,0000,0,87215031200000
2010692478,30000,10,81,4,18120000000,011210,0000,0,81418120000000
2010692478,30000,60,88,1,18011202000,000000,0000,0,88118011202000
2010692478,30000,60,81,4,11120601000,000000,0000,0,81411120601000
2010692478,30000,60,81,4,18120000000,000000,0000,0,81418120000000
2010692478,30000,10,82,9,11020100000,000000,0000,0,82911020100000
2009909673,00000,10,98,1,13020000000,027780,0000,0,98113020000000
2009909673,00000,10,98,1,13020000000,014150,0000,0,98113020000000
2009909673,00000,10,98,4,24020102000,007000,0000,0,98424020102000
2009808395,20000,60,87,2,15061200000,000000,0000,0,87215061200000
2009808395,20000,10,81,4,11120602000,000000,0000,0,81411120602000
2009808395,20000,10,88,1,18011202000,000000,0000,0,88118011202000
2009808395,20000,10,88,4,14051100000,000000,0000,0,88414051100000
2009808395,20000,40,88,4,14100000000,000000,0000,0,88414100000000
2009808395,20000,10,88,1,19371201000,000000,0000,0,88119371201000
2009808395,20000,10,82,9,11020100000,000000,0000,0,82911020100000
2009808395,20000,40,88,1,19371201000,000000,0000,0,88119371201000
2009808395,20000,60,81,4,11120200000,000000,0000,0,81411120200000
2009808395,20000,60,81,4,11120602000,000000,0000,0,81411120602000
2009808395,20000,40,81,4,11120602000,000000,0000,0,81411120602000
2009808395,20000,10,88,1,18011201000,000000,0000,0,88118011201000
2009808395,20000,60,88,1,19371201000,000000,0000,0,88119371201000
2009808395,20000,60,81,4,18120000000,000000,0000,0,81418120000000
2009808395,20000,60,87,2,15031200000,000000,0000,0,87215031200000
2009808395,20000,40,81,4,18120000000,000000,0000,0,81418120000000
2010707914,90000,49,91,5,25090000000,000000,0000,0,91525090000000
2010134358,80000,69,98,4,24020102000,000000,0000,0,98424020102000
2010808436,70000,69,91,5,25090000000,000000,0000,0,91525090000000
2015769441,30000,10,91,4,11130602000,000000,0000,0,91411130602000
2015769441,30000,10,98,1,19371301000,000000,0000,0,98119371301000
2015769441,30000,10,91,4,18130000000,000000,0000,0,91418130000000
2015769441,30000,10,98,4,24020102000,001950,0000,0,98424020102000
2011810708,00000,60,91,4,18130000000,000000,0000,0,91418130000000
2011810708,00000,60,98,4,14051100000,000000,0000,0,98414051100000
2011810708,00000,60,91,4,11130602000,000000,0000,0,91411130602000
2011810708,00000,60,98,1,18011301000,000000,0000,0,98118011301000
2011810708,00000,60,98,4,14100000000,000000,0000,0,98414100000000
2011810708,00000,60,98,1,18011302000,000000,0000,0,98118011302000
2010762248,90012,30,98,4,14090000000,000000,0000,0,98414090000000
2010762248,90012,30,98,1,19371301000,000000,0000,0,98119371301000
2010762248,90000,10,98,1,18011302000,000000,0000,0,98118011302000
2010762248,90000,10,97,2,15061300000,000000,0000,0,97215061300000
2010762248,90012,30,91,4,18130000000,000000,0000,0,91418130000000
2010762248,90012,30,92,9,11020500000,000000,0000,0,92911020500000
2010762248,90000,10,91,4,11130602000,000000,0000,0,91411130602000
2010762248,90000,10,98,4,14051100000,000000,0000,0,98414051100000
2010762248,90012,30,91,4,11130602000,000000,0000,0,91411130602000
2010762248,90000,10,91,4,11130200000,000000,0000,0,91411130200000
2010762248,90000,10,98,1,18011301000,000000,0000,0,98118011301000
2010762248,90000,10,91,4,18130000000,000000,0000,0,91418130000000
2010762248,90000,10,98,1,19371301000,000000,0000,0,98119371301000
2010762248,90000,10,92,9,11020100000,000000,0000,0,92911020100000
2010762248,90012,30,98,4,14100000000,000000,0000,0,98414100000000
2013084351,40000,10,91,4,21130400000,000000,0000,0,91421130400000
2013084351,40000,10,91,4,11130400000,000000,0000,0,91411130400000
2013084351,40000,10,98,1,18011302000,000000,0000,0,98118011302000
2013084351,40000,10,91,4,18130000000,000000,0000,0,91418130000000
2013084351,40000,10,98,4,14051100000,000000,0000,0,98414051100000
2013084351,40000,10,98,1,18011301000,000000,0000,0,98118011301000
2013084351,40000,10,91,4,11130609000,000000,0000,0,91411130609000
2010032464,40000,10,98,1,13020000000,032520,0000,0,98113020000000
2010032464,40048,60,98,1,13020000000,011360,0000,0,98113020000000
2011075935,50000,11,01,4,11020400000,000000,0000,0,01411020400000
2011075935,50000,11,01,4,19020100000,000000,0000,0,01419020100000
2013267433,70000,60,91,4,11130602000,000000,0000,0,91411130602000
2013267433,70000,40,88,1,18011201000,000000,0000,0,88118011201000
2013267433,70000,40,81,4,18120000000,000000,0000,0,81418120000000
2013267433,70000,60,98,1,18011302000,000000,0000,0,98118011302000
2013267433,70000,60,98,4,14100000000,000000,0000,0,98414100000000
2013267433,70000,60,98,1,18011301000,000000,0000,0,98118011301000
2013267433,70000,40,81,4,11120602000,000000,0000,0,81411120602000
